1|20201212|Coca-cola|3.0|1
2|20201111|Pepsi|3.0|2
3|20200909|Staropramen|4.0|2
4|20201212|Argo|2.0|3
5|20201212|RedBull|3.0|4
6|20201111|Pepsi|3.0|6
7|20200909|Staropramen|4.0|7
8|20201212|Argo|6.2|8
9|20201212|RedBull|3.6|8
10|20200907|M&M's|1.4|8
11|20200305|Milka|2.3|9
12|20200702|AlpenGold|2.7|8
13|20200902|Toilet Paper|2.9|8
14|20200105|Sprite|3.0|8
15|20200206|Fanta|2.2|8
16|20201105|Banana|2.5|8
17|20201210|Apple|2.4|7
18|20200127|Orange|1.7|6
19|20200304|Lays|1.4|5
20|20200731|Doritos|1.1|10
21|20200912|Mango|0.4|10
